epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.60482,2.26283,17.7575,1.04893,0,0,0,0,1.42615,9.64551,0.96966,0,0,0
2,4.66526,2.40708,12.4133,1.16229,0,0,0,0,1.43328,9.47169,0.97093,1.9604e-05,1.9604e-05,1.9604e-05
3,6.50741,3.58355,16.4447,1.22686,0,0,0,0,1.48015,9.42542,0.97535,3.8416e-05,3.8416e-05,3.8416e-05
4,8.21305,2.71861,15.5762,0.95781,0,0,0,0,1.54902,9.40735,0.98137,5.6436e-05,5.6436e-05,5.6436e-05
5,10.1176,2.57778,14.0005,1.18045,0,0,0,0,1.6017,9.29024,0.98594,7.3664e-05,7.3664e-05,7.3664e-05
6,11.9681,2.64167,10.334,1.05623,0,0,0,0,1.69851,9.25353,0.99497,9.01e-05,9.01e-05,9.01e-05
7,13.8327,2.33156,11.7976,1.08042,0,0,0,0,1.8102,9.20402,1.00562,0.000105744,0.000105744,0.000105744
8,15.6278,1.68935,10.2873,0.89056,0,0,0,0,1.91592,9.19403,1.01575,0.000120596,0.000120596,0.000120596
9,17.4582,1.92951,8.38338,0.96264,0,0,0,0,1.91592,9.19403,1.01575,0.000134656,0.000134656,0.000134656
10,19.5995,1.39893,12.2463,0.89551,0,0,0,0,1.91947,9.03775,1.01569,0.000147924,0.000147924,0.000147924
11,21.7982,2.21962,10.5562,0.84765,0,0,0,0,1.91947,9.03775,1.01569,0.0001604,0.0001604,0.0001604
12,23.897,1.44963,9.14672,0.9241,0,0,0,0,1.99222,8.97918,1.02213,0.000172084,0.000172084,0.000172084
13,25.7246,1.86636,16.9106,0.88038,0,0,0,0,1.99222,8.97918,1.02213,0.000182976,0.000182976,0.000182976
14,27.6825,2.33164,13.9248,0.95879,0,0,0,0,1.99861,8.84823,1.02438,0.000193076,0.000193076,0.000193076
15,29.6549,1.94981,11.4819,0.87578,0,0,0,0,1.99861,8.84823,1.02438,0.000202384,0.000202384,0.000202384
16,31.7915,1.71017,13.7871,0.93424,0.00333,0.5,0.00341,0.00034,1.93326,8.62485,1.01796,0.0002109,0.0002109,0.0002109
