epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.38425,3.22286,13.557,1.15729,0,0,0,0,1.47351,8.88534,0.9714,0.1,0,0
2,2.15044,4.04769,21.2466,1.47234,0,0,0,0,1.44269,8.90933,0.97437,0.0990199,1.9934e-05,1.9934e-05
3,2.62527,2.3633,16.3819,1.01658,0,0,0,0,1.50497,8.97809,0.97599,0.0980397,3.9736e-05,3.9736e-05
4,3.01866,3.10889,16.3851,1.14713,0,0,0,0,1.50284,8.7992,0.97635,0.0970594,5.9406e-05,5.9406e-05
5,3.40312,2.61582,14.9013,1.24249,0,0,0,0,1.50579,8.64825,0.97686,0.0960789,7.8944e-05,7.8944e-05
6,3.8042,2.6235,10.5533,1.0688,0,0,0,0,1.47452,8.43347,0.97422,0.0950983,9.835e-05,9.835e-05
7,4.2052,3.80684,19.9768,1.1341,0,0,0,0,1.48394,8.23266,0.97051,0.0941176,0.000117624,0.000117624
8,4.60049,2.33837,14.9404,0.99798,0,0,0,0,1.44063,8.12524,0.96744,0.0931368,0.000136766,0.000136766
9,5.01072,2.87542,9.35066,1.25987,0.00333,0.5,0.00402,0.0008,1.31256,6.72114,0.97441,0.0921558,0.000155776,0.000155776
10,5.49871,1.58575,6.60486,0.84015,0.00333,0.5,0.0058,0.0029,1.21892,5.67413,0.96116,0.0911747,0.000174654,0.000174654
11,5.99936,2.13522,7.83641,0.82594,0.00667,1,0.01716,0.00479,1.23513,5.38461,0.96556,0.0901934,0.0001934,0.0001934
12,6.50164,1.91791,5.53824,0.92592,0.00749,1,0.01432,0.00369,1.64156,5.26777,0.99784,0.089212,0.000212014,0.000212014
13,7.02915,1.48594,5.11626,0.89567,0.00405,0.5,0.00368,0.0011,1.79883,5.16218,1.01817,0.0882305,0.000230496,0.000230496
14,7.54749,1.49513,3.96124,0.90505,0.00405,0.5,0.00368,0.0011,2.03484,5.02009,1.03477,0.0872488,0.000248846,0.000248846
15,8.05845,2.18115,3.87522,0.93416,0.00405,0.5,0.00368,0.0011,2.10994,4.97337,1.0424,0.0862671,0.000267064,0.000267064
16,8.55405,2.19408,3.55012,0.79488,0.00405,0.5,0.00368,0.0011,2.39984,4.90205,1.07066,0.0852852,0.00028515,0.00028515
17,9.05911,1.55429,3.14691,0.82136,0.00405,0.5,0.00368,0.0011,2.40047,4.83257,1.09147,0.0843031,0.000303104,0.000303104
18,9.55255,1.5545,4.22269,0.85775,0.00405,0.5,0.00368,0.0011,2.40047,4.83257,1.09147,0.0833209,0.000320926,0.000320926
19,10.0668,1.4399,3.18596,0.82522,0.00405,0.5,0.00368,0.0011,2.40507,4.69772,1.08784,0.0823386,0.000338616,0.000338616
20,10.5547,1.97122,3.12335,0.86816,0.00405,0.5,0.00368,0.0011,2.40507,4.69772,1.08784,0.0813562,0.000356174,0.000356174
21,11.1918,2.07497,3.2674,0.94071,0.00405,0.5,0.00368,0.0011,2.35102,4.42026,1.07423,0.0803736,0.0003736,0.0003736
22,11.8053,1.79355,1.87342,0.81081,0.00405,0.5,0.00368,0.0011,2.35102,4.42026,1.07423,0.0793909,0.000390894,0.000390894
23,12.3156,1.74377,1.97538,0.91056,0.00405,0.5,0.00368,0.0011,2.13201,4.04635,1.0449,0.0784081,0.000408056,0.000408056
24,12.8024,1.30889,2.17468,0.92837,0.00405,0.5,0.00368,0.0011,2.13201,4.04635,1.0449,0.0774251,0.000425086,0.000425086
25,13.3151,1.17604,1.64588,0.8763,0.00405,0.5,0.00368,0.0011,1.87347,3.6995,1.00737,0.076442,0.000441984,0.000441984
26,13.7938,1.45617,1.59819,0.84573,0.00405,0.5,0.00368,0.0011,1.87347,3.6995,1.00737,0.0754588,0.00045875,0.00045875
27,14.359,1.96548,1.99398,0.82415,1,0.5,0.75,0.45,1.69741,3.42992,0.98623,0.0744754,0.000475384,0.000475384
28,14.8606,1.86656,1.56615,0.82933,1,0.5,0.75,0.45,1.69741,3.42992,0.98623,0.0734919,0.000491886,0.000491886
29,15.3452,1.64571,1.61014,0.88801,1,1,0.995,0.65925,1.54237,3.18176,0.97818,0.0725083,0.000508256,0.000508256
30,15.8198,1.22835,1.0294,0.82595,1,1,0.995,0.65925,1.54237,3.18176,0.97818,0.0715245,0.000524494,0.000524494
31,16.3407,1.0589,0.99208,0.86002,1,1,0.995,0.597,1.65384,2.91209,0.98737,0.0705406,0.0005406,0.0005406
32,16.8348,1.03771,0.97293,0.85159,1,1,0.995,0.597,1.65384,2.91209,0.98737,0.0695566,0.000556574,0.000556574
33,17.3411,1.09483,1.91741,0.89683,1,1,0.995,0.55975,1.94289,2.62994,1.00521,0.0685724,0.000572416,0.000572416
34,17.8409,1.45512,1.48114,0.87551,1,1,0.995,0.55975,1.94289,2.62994,1.00521,0.0675881,0.000588126,0.000588126
35,18.3365,1.42142,0.66879,0.87345,0.66667,1,0.995,0.4645,2.0662,2.38511,1.01003,0.0666037,0.000603704,0.000603704
36,18.8122,1.14509,0.98186,0.84036,0.66667,1,0.995,0.4645,2.0662,2.38511,1.01003,0.0656192,0.00061915,0.00061915
37,19.3425,1.82358,1.05552,0.87107,0.5,1,0.995,0.46025,2.0509,2.18779,1.00911,0.0646345,0.000634464,0.000634464
38,19.8386,2.00334,1.27835,0.80575,0.5,1,0.995,0.46025,2.0509,2.18779,1.00911,0.0636496,0.000649646,0.000649646
39,20.3875,1.10253,0.72815,0.86913,0.5,1,0.995,0.52863,1.94175,2.04248,1.00488,0.0626647,0.000664696,0.000664696
40,20.974,1.10469,0.92097,0.82145,0.5,1,0.995,0.52863,1.94175,2.04248,1.00488,0.0616796,0.000679614,0.000679614
41,21.5967,1.38983,1.38467,0.8697,0.5,1,0.995,0.55975,1.67298,1.88733,0.99804,0.0606944,0.0006944,0.0006944
42,22.2527,1.39063,1.65502,0.77786,0.5,1,0.995,0.55975,1.67298,1.88733,0.99804,0.0597091,0.000709054,0.000709054
43,22.8463,1.19812,0.81424,0.90421,0.5,1,0.995,0.65925,1.38731,1.71345,0.98174,0.0587236,0.000723576,0.000723576
44,23.4073,1.69423,1.25959,0.84124,0.5,1,0.995,0.65925,1.38731,1.71345,0.98174,0.057738,0.000737966,0.000737966
45,24.0227,1.81365,1.39572,0.88306,1,1,0.995,0.672,1.25988,1.53146,0.96657,0.0567522,0.000752224,0.000752224
46,24.5829,1.15599,0.70654,0.90146,1,1,0.995,0.672,1.25988,1.53146,0.96657,0.0557663,0.00076635,0.00076635
47,25.1623,1.472,0.97221,0.80464,1,1,0.995,0.672,1.32957,1.33039,0.97332,0.0547803,0.000780344,0.000780344
48,25.8461,1.53148,0.8632,0.79164,1,1,0.995,0.672,1.32957,1.33039,0.97332,0.0537942,0.000794206,0.000794206
49,26.4433,1.06394,0.72247,0.93896,0.91225,1,0.995,0.63025,1.43103,1.12555,0.98017,0.0528079,0.000807936,0.000807936
