epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.74733,1.76673,12.6167,1.07011,0.00065,0.01786,0.00036,0.00014,2.47906,6.88027,1.11095,0.09706,6e-05,6e-05
2,18.8,1.75511,12.4782,1.09328,0.00093,0.01786,0.00051,0.0001,2.38712,6.74628,1.09984,0.0931396,0.000139617,0.000139617
3,30.2699,1.60842,10.3658,1.00809,0.00093,0.01786,0.00051,0.0001,1.14426,22.6032,0.93335,0.0892188,0.000218848,0.000218848
4,36.5504,1.05651,4.63756,0.8771,0.00066,0.07209,0.00036,0.00025,1.08353,13.1463,0.8749,0.0852975,0.000297476,0.000297476
5,38.7977,0.98881,2.77996,0.83896,0.00234,0.30622,0.00171,0.00091,1.19228,9.75424,0.88234,0.0813762,0.000376161,0.000376161
6,40.5389,0.94792,2.06375,0.85012,0.01253,0.50463,0.01163,0.00682,1.07234,4.54992,0.86712,0.0774551,0.000455061,0.000455061
7,42.3041,0.95362,1.79746,0.85819,0.05351,0.39881,0.04194,0.02398,1.03391,4.25841,0.86217,0.0735339,0.000533948,0.000533948
8,44.0683,0.83713,1.63686,0.86509,0.5,0.25463,0.35529,0.26626,0.97182,4.10618,0.85689,0.0696127,0.000612742,0.000612742
9,45.8215,0.84609,1.5418,0.87056,0.46739,0.45304,0.39125,0.31669,0.97433,3.97715,0.85934,0.0656915,0.000691471,0.000691471
10,47.6367,0.80958,1.38009,0.8678,0.52778,0.43122,0.44307,0.3564,0.97544,3.95576,0.85887,0.0617701,0.000770114,0.000770114
11,49.3844,0.83866,1.35084,0.85558,0.53205,0.54101,0.46466,0.37401,1.06417,3.81793,0.8739,0.0578487,0.000848678,0.000848678
12,51.1367,0.89267,1.28834,0.86149,0.5091,0.70701,0.51132,0.38136,1.23696,3.45346,0.90987,0.0539272,0.000927172,0.000927172
13,52.8866,0.8342,1.24472,0.8244,0.45678,0.79828,0.54289,0.44906,0.90753,2.59558,0.85849,0.0500056,0.00100559,0.00100559
14,54.6149,0.941,1.14131,0.83509,0.46276,0.89021,0.56801,0.46541,0.91629,2.27798,0.86235,0.0460839,0.00108393,0.00108393
15,56.3724,0.81707,1.13196,0.83868,0.39678,0.96362,0.58266,0.44127,1.07012,1.93325,0.89311,0.0421622,0.0011622,0.0011622
16,58.1337,0.80754,1.13679,0.84087,0.48516,0.79828,0.57621,0.45091,0.94724,1.73844,0.86931,0.0382404,0.00124039,0.00124039
17,59.8284,0.79422,1.07053,0.83161,0.49776,0.7741,0.57224,0.45384,0.88766,1.62396,0.85524,0.0343185,0.00131849,0.00131849
18,61.5739,0.75695,1.11156,0.8221,0.48513,0.72487,0.57045,0.4397,0.98862,1.61796,0.87368,0.0303965,0.00139655,0.00139655
19,63.3107,0.77092,1.06523,0.82558,0.49708,0.80109,0.57096,0.45481,0.90072,1.53064,0.85872,0.0264745,0.00147449,0.00147449
20,65.0435,0.80521,1.0584,0.85488,0.50643,0.93465,0.58942,0.48049,0.77244,1.39324,0.83921,0.0225524,0.00155238,0.00155238
21,66.8005,0.81325,1.01508,0.83925,0.49921,0.95881,0.62634,0.50899,0.83126,1.24682,0.84476,0.0186302,0.0016302,0.0016302
22,68.5028,0.73932,0.95359,0.84909,0.49995,0.98148,0.68525,0.56961,0.78229,1.10884,0.83433,0.0147079,0.00170793,0.00170793
23,70.2394,0.78055,0.95803,0.85271,0.52114,0.96362,0.74524,0.63044,0.75495,1.05304,0.82847,0.0107856,0.00178559,0.00178559
24,72.0093,0.85464,0.9882,0.85214,0.5961,0.96362,0.81954,0.69087,0.74065,0.95495,0.82589,0.00686315,0.00186315,0.00186315
25,73.7626,0.75697,0.82448,0.83766,0.71435,0.9129,0.89309,0.74425,0.74548,0.88282,0.82856,0.00294063,0.00194063,0.00194063
26,75.5103,0.71578,0.77132,0.81807,0.75722,0.90807,0.92256,0.77605,0.73544,0.83554,0.82517,0.00195929,0.00195929,0.00195929
27,77.2572,0.71571,0.68692,0.84288,0.95332,0.91846,0.97645,0.80932,0.74967,0.74289,0.82363,0.00195832,0.00195832,0.00195832
28,79.0203,0.7571,0.73621,0.82952,0.83086,0.9112,0.94714,0.78625,0.74724,0.81708,0.82085,0.00195737,0.00195737,0.00195737
29,80.7481,0.75018,0.66317,0.82627,0.94409,0.93105,0.97624,0.82208,0.7113,0.69854,0.82183,0.00195642,0.00195642,0.00195642
30,82.4618,0.72705,0.61233,0.81258,0.99478,0.96296,0.98428,0.81042,0.72918,0.62021,0.82434,0.00195545,0.00195545,0.00195545
31,84.1984,0.72251,0.54904,0.8328,0.96859,0.98021,0.98413,0.82121,0.71773,0.57693,0.81914,0.00195452,0.00195452,0.00195452
32,85.9088,0.73047,0.53396,0.84797,0.96925,0.9306,0.98418,0.82615,0.72577,0.5643,0.82247,0.00195357,0.00195357,0.00195357
33,87.6175,0.70536,0.53453,0.81843,0.87188,0.97294,0.98533,0.80401,0.75677,0.59995,0.8323,0.00195261,0.00195261,0.00195261
34,89.3303,0.75873,0.53876,0.82164,0.99351,0.96296,0.98914,0.81478,0.76949,0.5186,0.83722,0.00195167,0.00195167,0.00195167
35,91.0589,0.72006,0.52882,0.81739,0.97747,0.9755,0.99306,0.82962,0.72221,0.49709,0.83269,0.00195075,0.00195075,0.00195075
36,92.7698,0.66183,0.48292,0.84027,0.99059,0.92429,0.99227,0.82526,0.72865,0.52817,0.82574,0.00194978,0.00194978,0.00194978
37,94.4849,0.82933,0.56232,0.86602,0.88852,0.8936,0.98937,0.82728,0.72941,0.61887,0.82265,0.00194887,0.00194887,0.00194887
38,96.2258,0.81626,0.52097,0.8421,0.86448,0.88099,0.98364,0.82208,0.72535,0.655,0.82338,0.00194789,0.00194789,0.00194789
39,97.9573,0.73393,0.55473,0.8148,0.94031,0.94445,0.99191,0.81836,0.7365,0.58837,0.82944,0.00194694,0.00194694,0.00194694
40,99.6884,0.72647,0.48737,0.84963,0.98568,0.94148,0.99306,0.81972,0.74829,0.57796,0.83292,0.001946,0.001946,0.001946
41,101.394,0.73967,0.5317,0.84589,0.95383,0.91742,0.99298,0.82464,0.7262,0.55599,0.82975,0.00194504,0.00194504,0.00194504
42,103.136,0.65566,0.46667,0.84303,0.95955,0.85286,0.96071,0.80843,0.72002,0.60649,0.82637,0.00194409,0.00194409,0.00194409
43,104.864,0.73609,0.51338,0.8262,0.83594,0.79323,0.92757,0.7705,0.72739,0.8117,0.82568,0.00194316,0.00194316,0.00194316
44,106.596,0.6669,0.45237,0.81585,0.85644,0.79748,0.91562,0.75538,0.70045,0.81757,0.82846,0.0019422,0.0019422,0.0019422
45,108.337,0.66845,0.50107,0.83898,0.90914,0.90959,0.98234,0.8099,0.73078,0.56733,0.83203,0.00194125,0.00194125,0.00194125
46,110.091,0.66619,0.43592,0.83536,0.9831,0.98476,0.995,0.83963,0.70015,0.4506,0.82775,0.00194028,0.00194028,0.00194028
47,111.816,0.69204,0.47391,0.81618,0.98423,0.9968,0.995,0.84134,0.69555,0.43696,0.82535,0.00193932,0.00193932,0.00193932
48,113.532,0.69871,0.46168,0.82372,0.98461,0.99837,0.995,0.84734,0.69014,0.43321,0.82322,0.00193837,0.00193837,0.00193837
49,115.306,0.64097,0.44064,0.81342,0.98297,0.97011,0.99446,0.84481,0.68341,0.45077,0.82235,0.00193743,0.00193743,0.00193743
50,117.263,0.64874,0.442,0.84409,0.94247,0.92429,0.9925,0.84373,0.69131,0.51205,0.82166,0.00193646,0.00193646,0.00193646
51,119.163,0.67541,0.48053,0.83751,0.95701,0.94444,0.99304,0.84767,0.68329,0.46995,0.82317,0.00193534,0.00193534,0.00193534
52,121.013,0.63745,0.46062,0.83563,0.98427,0.99817,0.995,0.84886,0.67289,0.40142,0.82242,0.0019343,0.0019343,0.0019343
53,122.829,0.66121,0.44256,0.815,0.99011,0.98148,0.99446,0.85253,0.64521,0.40366,0.82175,0.00193327,0.00193327,0.00193327
54,124.684,0.64052,0.42408,0.83827,0.96638,0.9594,0.99158,0.86109,0.64013,0.4507,0.82235,0.0019323,0.0019323,0.0019323
